0.0	0
1.24885 5360
1.3154 5896
1.3204 6432
1.3254 7504
1.3304 8576
1.3354 9648
1.37694 10720
1.38194 11792
1.38289 12864
1.38742 13936
1.38836 15008
1.39242 16080
1.39336 17152
1.39742 18224
1.39836 19296
1.43896 20368
1.43991 21440
1.44396 22512
1.44491 23584
1.44585 24656
1.44679 25728
1.44943 26800
1.45038 27872
1.45132 28944
1.45227 30016
1.45443 31088
1.45538 32160
1.45632 33232
1.45724 34304
1.4604 35376
1.47042 13312
1.47085 13264
1.47542 12776
1.53185 24656
1.56351 16288
1.56492 16240
1.57242 16040
1.60544 15064
1.60587 15016
1.61044 14528
1.61544 14040
1.62044 13552
1.62507 9848
1.63355 9360
1.63855 8872
1.64355 8384
1.64855 7896
1.65392 7408
1.657 6920
1.66202 6384
1.66689 17152
1.66689 17688
1.682 16824
1.68664 16288
1.68711 15752
1.69511 15503
1.70011 15307
1.70511 15110
1.71011 14914
1.71857 14718
1.72357 13985
1.7289 13592
1.72985 13200
1.73079 12328
1.73268 12000
1.73721 11648
1.7404 11160
1.74355 12328
1.79328 12864
1.89522 13400
1.92281 12864
1.92867 12467
1.92915 12269
1.92962 12070
1.93009 11872
1.95679 11673
1.95726 11475
1.95773 11276
1.97024 11078
1.97071 10879
1.97652 10681
1.97699 10482
1.97841 10284
1.97888 10085
1.97935 9112
1.98436 9648
2.10751 9112
2.10798 8148
2.10845 7933
2.11524 7719
2.11571 7504
2.14288 7290
2.14335 6432
2.17678 6968
2.40832 7504
2.60087 6968
2.60857 6499
2.60904 6265
2.65547 6030
2.65594 5796
2.65641 4824
2.66242 5360
2.9665 5896
3.34182 5360
3.34229 4866
3.39781 4618
3.39828 3752
3.40337 4288
3.58671 3752
3.58804 3216
3.58851 2680
3.64826 3216
3.83435 2680
3.8366 2144
3.8959 2680
4.08104 2144
4.14167 1608
4.14306 2144
4.26621 1072
4.32823 1608
4.38979 2144
4.82346 1608
4.82395 1072
4.88501 1608
5.21337 2144
5.87486 1608
5.88057 1072
5.93684 1608
6.24543 2144
8.91397 1608
8.91444 1072
8.97564 1608
9.28383 2144
10.4681 1608
10.5233 1072
10.5296 1608
10.6533 1072
10.7148 1608
10.8995 1072
10.961 1608
11.4534 1072
11.515 1608
12.1317 1072
12.1932 1608
14.907 2144
15.2166 2680
15.464 3216
15.65 3752
15.8351 4288
15.9587 4824
16.0873 5360
16.2058 5896
16.3293 6432
16.4529 6968
16.5149 7504
16.6385 8040
16.7015 8576
16.7631 9112
16.8336 8576
16.8871 8125
16.8875 7899
16.889 7674
16.8894 7448
16.8899 7222
16.8904 6997
16.8909 6771
16.8913 5896
16.8965 6432
16.9538 5896
16.9543 5437
16.9548 5207
16.9557 4288
17.0158 4824
17.3235 5360
17.386 4824
17.387 4378
17.3875 3752
17.4476 4288
17.6369 4824
18.0026 5360
18.0071 4824
18.0108 4378
18.0113 3752
18.0687 4288
18.3123 4824
18.6205 5360
18.8061 4824
18.8065 4378
18.807 3752
18.8672 3216
18.8676 3752
18.9287 4288
18.9903 2680
19.0528 3216
19.366 3752
19.487 3216
19.4896 2680
19.4901 2144
19.549 2680
19.7337 2144
19.7341 1608
19.7952 2144
